新闻 | 2019年07月08日|华为与复旦大学合作开发全国首个医学人工智能课程|近日，华为与复旦大学基础医学院合作开发的 医学人工智能与机器学习课程在上海复旦大学进行集中授课，吸引了来自医学院与附属医院的120多名本科生和研究生参与。
新闻 | 2019年04月25日|马来西亚首相访问华为北京研究所|今日，马来西亚首相敦马哈蒂尔参观了华为北京研究所，并会见了华为公司创始人任正非。双方就ICT技术如何更好地促进马来西亚经济发展、服务当地社会进行了深入探讨。
新闻 | 2019年04月25日|乌兹别克斯坦总统参观华为北京高端交流中心|正在中国访问的乌兹别克斯坦共和国总统沙夫卡特米尔济约耶夫当天访问了华为北京研究所，并在华为公司创始人兼CEO任正非的陪同下参观了华为北京高端交流中心（EBC）。
新闻 | 2019年04月25日|华为云与多家公司签署MoU，联合伙伴展示云+AI创新应用|4月24-25日，以+AI, Grow with Intelligence为主题的华为云新加坡峰会盛大举行。
新闻 | 2019年04月25日|华为云发布Cloud&AI创新实验室，四大核心优势助力智能化升级|4月24日-25日，2019华为云新加坡峰会在新加坡召开，新加坡CloudAI创新实验室在会上正式发布。
新闻 | 2019年04月25日|华为云发布四大金融行业解决方案，为构建智能金融提供“可靠选择”|今天，在2019华为全球金融峰会之云上金融，智见未来分论坛，华为云发布包含5G智慧银行、虚拟银行、商品交易所动产质押和区块链联合征信在内的四大金融行业解决方案，为构建智能金融提供可靠选择。
新闻 | 2019年04月25日|阿塞拜疆总统伊利哈姆·阿利耶夫与华为董事长梁华会谈|4月25日，阿塞拜疆共和国总统伊利哈姆阿利耶夫与华为董事长梁华在北京进行会谈。
新闻 | 2019年04月24日|华为以“AI+Data”成就智慧金融|以芯里有数，智慧金融为主题的2019华为全球金融峰会今日在上海盛大开幕。
新闻 | 2019年04月23日|华为云与Infosys拓展战略合作，助力行业数字化云转型|华为云与Infosys在新加坡签署战略合作备忘录。Infosys加入华为云合作伙伴网络HCPN（HUAWEI CLOUD Partner Network），联手构建HUAWEI CLOUD + Infosys产品和服务在公有云领域的战略合作关系，使能各行各业数字化云转型。
新闻 | 2019年04月23日|华为率先通过中国移动组织的业内首次50GE单纤双向技术测试|近日，中国移动研究院组织开展50GE单纤双向新技术测试，华为率先通过了测试。
新闻 | 2019年04月22日|华为高层会见埃及总理，促进埃及数字化生态发展|埃及总理穆斯塔法马德布利（Mustafa Madbouly）在总理府会晤了华为公司监事会主席李杰。
新闻 | 2019年04月22日|华为携手伙伴单位联合发起智慧城市产业生态圈|华为携手中国雄安集团有限公司、深圳市标准技术研究院、北京航空航天大学、中国电子技术标准化研究院、住建部IC卡应用服务中心和中国电子学会共7家单位联合倡议发起智慧城市产业生态圈(Smart City Industrial Ecosphere，缩写SCIE，以下简称生态圈)，并于4月20日在北京召开筹备会暨第一次联席会议。
新闻 | 2019年04月22日|华为5G车载模组首次亮相，助力未来智慧出行|在2019上海国际汽车工业展览会上，华为展示业界首款5G车载模组MH5000，该模组高度集成车路协同的C-V2X技术，共同助力未来智慧出行。
新闻 | 2019年04月22日|华为发布2019年一季度经营业绩|华为今日发布2019年一季度经营业绩。2019年一季度，公司销售收入1,797亿人民币，同比增长39%；净利润率约为8%，同比略有增长。
新闻 | 2019年04月19日|华为宣布启用Wi-Fi产品新品牌AirEngine及Wi-Fi 6在全球规模部署|在中国深圳举行的2019年华为全球分析师大会期间，华为和Wi-Fi联盟联合举办了主题为Wi-Fi 6，激发Wi-Fi商业价值的媒体圆桌会议。
新闻 | 2019年04月19日|华为10G PON解决方案助力上海移动打造“双千兆第一城”|近日，中国移动集团上海分公司（下文简称上海移动）宣布采用华为端到端10G PON解决方案，全力推进千兆宽带精品示范小区建设，向建设双千兆第一城的目标迈出坚实一步。
新闻 | 2019年04月18日|华为新推“四大引擎”品牌战略，引领智能IP网络|华为在2019年全球分析师大会上发布了全新的IP网络品牌战略，新推四大Engine系列产品品牌，旨在打造智能时代IP网络的强劲引擎，构建无处不在的极致联接体验，以超宽的无损网络100%释放AI算力，助力用户加速迈入万物互联的智能世界。
新闻 | 2019年04月18日|自动驾驶开发者利器：华为云自动驾驶云服务Octopus亮相上海车展|4月16日-25日上海国际汽车工业展览会期间，华为云自动驾驶云服务Octopus（八爪鱼）首次亮相。
新闻 | 2019年04月17日|华为荣获Gartner Peer Insights平台数据中心网络“客户之选”荣誉称号|华为CloudEngine交换机荣获2019年4月Gartner Peer Insights平台数据中心网络客户之选荣誉称号
新闻 | 2019年04月17日|华为智能存储持续技术创新，2018全年在全闪存市场增速全球第一|今日，在第十六届华为全球分析师大会期间举办的IT基础设施论坛上，华为IT产品线智能存储与数据管理领域总裁孟广斌发表演讲，并宣布通过持续技术创新，2018全年华为在全闪存存储市场增速全球第一，华为智能存储在2012-2018年期间实现40%的平均复合增长率（CAGR）。
新闻 | 2019年11月26日|华为发布智能边缘数据IT基础设施解决方案|在2019全球数据基础设施论坛期间，华为发布了面向垂直行业的智能边缘数据IT基础设施解决方案族，包含智能煤矿应急、智能交通自由流、智能加油和智能粮库四大场景的边缘IT基础设施解决方案，支撑多种边缘业务实时决策。
新闻 | 2019年11月22日|中国移动北京公司与华为共同发布“智慧全光城市”目标网架构|在2019世界5G大会期间，中国移动北京公司与华为共同发布了智慧全光城市目标网架构：以一张端到端的全光网实现城市全业务综合承载，全面使能千兆政企、千兆家庭、千兆5G的业务创新，构建智慧城市的坚实全光底座。
新闻 | 2019年11月22日|华为发布《面向5G的边缘数据中心基础设施白皮书》|近日，在第五届智能数据中心基础设施技术峰会上，华为发布《面向5G的边缘数据中心基础设施白皮书》（以下简称《5G数据中心白皮书》），指出全栈极简和全栈高效将是5G时代下边缘数据中心基础设施解决方案的发展方向。
新闻 | 2019年11月22日|华为BusinessPON解决方案助力中国移动打造新一代千兆全光政企专网|近日，在2019中国移动全球合作伙伴大会上，中国移动宣布采用华为BusinessPON千兆政企解决方案打造面向商务楼宇场景的新一代政企专网。
新闻 | 2019年11月22日|华为CloudLink系列UI系统荣获2019红点产品设计大奖|近日，2019红点设计大奖（Red Dot Award）揭晓，华为CloudLink协作智真系列UI系统凭借极简而人性化的设计风格、自然高效的交互体验，使系统无缝融合到现代工作环境中，荣获红点产品设计大奖。
新闻 | 2019年11月21日|华为客户获2019全球智慧城市博览会“产业数字化转型”大奖及入围5个重量奖项|在第九届全球智慧城市博览会（SCEWC）上，华为客户江西鹰潭市政府获得全球及中国产业数字化转型双料大奖，深圳龙岗区政府获得中国区数字政府创新奖。
新闻 | 2019年11月21日|华为轮值董事长徐直军：构建共享的5G产业生态|首届世界5G大会于11月20日-23日在北京举办，华为轮值董事长徐直军在大会发表题为《构建共享的5G产业生态》的主题演讲，认为中国具备条件把5G做成全球最好的5G，全球正在共享中国5G发展带来的红利。
新闻 | 2019年11月21日|华为GaussDB数据库推出双分布式架构，打造金融核心智能生产交易解决方案|在2019全球数据基础设施论坛金融峰会上，华为发布GaussDB OLTP数据库双分布式新架构。
